,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
ARCTIC VILLAGE HEALTH CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK,H80CS01131
Clay Quality Health Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clay County,AL,H80CS00658
Mobile Dental Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Solano County,CA,H80CS04218
Trinity Family Health Behavioral - Corbin,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Knox County,KY,[No Data]
Mercy Mobile Unit #1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Williamson County,TN,H80CS24149
Hennepin County Public Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hennepin County,MN,H80CS00028
Community Health Center of Southeast Kansas/Mound City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Linn County,KS,H80CS00841
Neosho Schools- Central Campus,Yes,Service Delivery Site,Seasonal,School,Newton County,MO,H80CS00673
Medical Mobile  Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Harris County,TX,H80CS00038
HILL HOUSE HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Allegheny County,PA,H80CS00714
Ellijay Health and Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gilmer County,GA,H80CS00093
Family Medical Center - Detroit Lions Academy,Yes,Service Delivery Site,Permanent,School,Wayne County,MI,H80CS00390
COOK CONVAL & NURSING CARE UNIT,Yes,Service Delivery Site,Permanent,Nursing Home,St. Louis County,MN,H80CS00706
HealthPoint Kent,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA,H80CS00360
LCH Health and Community Services,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Chester County,PA,H80CS24148
GOSHEN MEDICAL CENTER - NEW BERN MOBILE UNIT,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Craven County,NC,H80CS00181
"Alexander Valley Healthcare (Medical/Behavioral Health/Financial Services: Suite A,B,C)",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Sonoma County,CA,H80CS26608
Big Otter Elementary Wellness Center,Yes,Service Delivery Site,Permanent,School,Clay County,WV,H80CS00080
FamilyCare Health Center - Hurricane,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Putnam County,WV,H80CS00827
Chilhowie High School,Yes,Service Delivery Site,Seasonal,School,Smyth County,VA,H80CS00278
SOUTH FORK HIGH SCHOOL/MIRANDA JUNIOR HIGH SCHOOL,Yes,Service Delivery Site,Seasonal,School,Humboldt County,CA,H80CS00251
Avondale High School Health Center,Yes,Service Delivery Site,Permanent,School,Oakland County,MI,H80CS28354
Buckhannon Academy Elementary School Wellness Center,Yes,Service Delivery Site,Permanent,School,Upshur County,WV,H80CS00080
Serenity Anaheim Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
Sweet Home Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Linn County,OR,H80CS02592
AltaMed Dental Group at Barbara Benson Elementary,Yes,Service Delivery Site,Seasonal,School,Orange County,CA,H80CS00142
COLERAIN PRIMARY CARE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bertie County,NC,H80CS08737
CrescentCare St. Roch,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS26583
Logan-Hocking School Behavioral Health Clinic,Yes,Service Delivery Site,Permanent,School,Hocking County,OH,H80CS00193
Lincoln Heights Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,OH,H80CS00200
Hope Family Health Services-Podiatry,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Magoffin County,KY,H80CS00619
EDGAR H. PRICE FAMILY & CHILDREN HEALTHCARE CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL,H80CS00097
Ponca City Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kay County,OK,H80CS06456
East Liberty Family Health Care Center-LL,No,Administrative,Permanent,All Other Clinic Types,Allegheny County,PA,H80CS00664
Comprehensive Community Health Center - Arleta,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS10607
Hayden Schools,Yes,Service Delivery Site,Mobile Van,School,Routt County,CO,H80CS10610
United Health Centers Visalia Mooney,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA,H80CS00137
Bond Community Health Center (Main Site),Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Leon County,FL,H80CS28957
"Chiricahua Community Health Center, Inc. Sierra Vista Administration Office",No,Administrative,Permanent,Unknown,Cochise County,AZ,H80CS00696
Longwood Elementary School,Yes,Service Delivery Site,Seasonal,School,Okaloosa County,FL,H80CS00693
PCSG Administration Building - New,No,Administrative,Permanent,Unknown,Thomas County,GA,H80CS06454
PrimeCare Belmont Cragin,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00341
Hopewell Health Centers - Athens,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Athens County,OH,H80CS00193
DePaul Community Health Center – St. Charles,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS24198
Greater Portland Health at Lincoln Middle School,Yes,Service Delivery Site,Seasonal,School,Cumberland County,ME,H80CS25680
Cesar E. Chavez Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Saguache County,CO,H80CS00134
CHCB Benwood,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Erie County,NY,H80CS00157
Horizon Health - Bison,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Perkins County,SD,H80CS00135
"Lancaster Downtown (Medical, Dental & Pharmacy)",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lancaster County,PA,H80CS00495
VIRGINIA GARCIA MOBILE VAN,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Washington County,OR,H80CS00817
Johnson Elementary School Wellness Center,Yes,Service Delivery Site,Seasonal,School,Harrison County,WV,H80CS00080
Omni Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kern County,CA,H80CS00615
Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Kodiak Island Borough,AK,H80CS01445
Heritage Health Coeur d'Alene Center for Healthy Living,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Kootenai County,ID,H80CS02331
SAFE HARBOR MEDICAL-BHO,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV,[No Data]
"NORTHEAST ALABAMA HEALTH SERVICES, INC.",No,Administrative,Permanent,All Other Clinic Types,Jackson County,AL,H80CS00760
Langley Health Services Sumterville,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Sumter County,FL,H80CS00412
Kintegra at W C Friday Middle,Yes,Service Delivery Site,Permanent,School,Gaston County,NC,H80CS00293
CARIBBEAN HOUSE HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,H80CS00597
HPM FOUNDATION MOBILE UNIT,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,San Juan Municipio,PR,H80CS00695
Roosevelt High School Student Health Center,Yes,Service Delivery Site,Seasonal,School,Multnomah County,OR,H80CS00149
Rocky Ford Clinic or Rocky Ford Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Otero County,CO,H80CS00134
"Center for Family Health & Education, Inc. dba Priority Care Medical Group - Mobile Unit 1",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Los Angeles County,CA,H80CS28984
South Broad Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS00867
Fresno Administration,No,Administrative,Permanent,Unknown,Fresno County,CA,H80CS00525
Philadelphia District Health Center #9,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA,H80CS29024
Suite J Admin Only,No,Administrative,Permanent,All Other Clinic Types,Mecklenburg County,NC,H80CS00428
Heart of the City West,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI,H80CS00770
GPHA - Franklin Towne Charter Health Suite,Yes,Service Delivery Site,Seasonal,School,Philadelphia County,PA,H80CS00708
OneWorld Plattsmouth aka Cass Family Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cass County,NE,H80CS00737
"Community Medical Centers, 747 Channel",Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Joaquin County,CA,H80CS00138
Cedar Commons,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR,H80CS00234
Clinica Familiar de Luquillo,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Luquillo Municipio,PR,H80CS00323
Palms Medical Group - High Springs,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Alachua County,FL,H80CS00691
Jessamine Early Learning Village updated,Yes,Service Delivery Site,Seasonal,School,Jessamine County,KY,H80CS00422
AHL Eye Associates of West Jefferson,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson Parish,LA,H80CS00867
FAMILY HEALTH CENTER - BLACK RIVER FALLS DENTAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,WI,H80CS00792
MN Community Care - Highland Park SBC,Yes,Service Delivery Site,Seasonal,School,Ramsey County,MN,H80CS00790
Grossmont Spring Valley Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00224
Holmes Elementary School SBHC,Yes,Service Delivery Site,Permanent,School,Capitol Planning Region,CT,H80CS00326
Edison Pacific Health Center,Yes,Service Delivery Site,Permanent,School,Los Angeles County,CA,H80CS12851
"AltaPointe Health Systems, Inc.",No,Administrative,Permanent,All Other Clinic Types,Mobile County,AL,H80CS33643
Mobile Unit 2 – Costa Salud,Yes,Service Delivery Site,Mobile Van,Hospital,Aguada Municipio,PR,H80CS00356
"Chiricahua Community Health Centers, Inc. Ronald Mobile Dental Clinic",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Cochise County,AZ,H80CS00696
"Sandhills Medical Foundation, Inc - Admin Annex",No,Administrative,Permanent,Unknown,Kershaw County,SC,H80CS00501
VNA Health Care Romeoville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Will County,IL,H80CS03983
Family Medical Center - Arborwood School,Yes,Service Delivery Site,Permanent,School,Monroe County,MI,H80CS00390
"Community Medical Centers, Lodi",Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Joaquin County,CA,H80CS00138
CareConnect Convenient Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Worth County,GA,H80CS00393
HealthSource Hillsboro,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Highland County,OH,H80CS00201
Windsor Terrace Senior Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,H80CS07914
PS 171 - Patrick Henry Preparatory School,Yes,Administrative/Service Delivery Site,Permanent,School,New York County,NY,H80CS07914
Teche Health @ Sugarland,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Terrebonne Parish,LA,H80CS00767
St Thomas CHC at 1936-1938 Magazine Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA,H80CS12863
Manchester Family Health Center,Yes,Service Delivery Site,Permanent,School,Adams County,OH,H80CS00399
Elkhorn City Medical Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Pike County,KY,H80CS00367
"PrimaryOne Health Pharmacy 3433 Agler Rd, Suite 1150, Columbus, OH 43219",No,Administrative,Permanent,All Other Clinic Types,Franklin County,OH,H80CS00118
Eskenazi Health Center Northwest Middle School,Yes,Service Delivery Site,Seasonal,School,Marion County,IN,H80CS25436
Lasante Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,[No Data]
Cherokee Quality Health Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cherokee County,AL,H80CS00658
SUD-MH  Medical Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Los Angeles County,CA,H80CS22686
Independence SB Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA,H80CS02326
Family HealthCare Valley City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barnes County,ND,H80CS00317
Kathyrn P. Stoklosa Middle School,Yes,Service Delivery Site,Permanent,School,Middlesex County,MA,H80CS00397
HACS: Spring-Cypress,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX,H80CS12885
Middlefield Memorial School SBHC,Yes,Service Delivery Site,Permanent,School,Lower Connecticut River Valley Planning Region,CT,H80CS00326
Ashland Health and Wellness,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ashland County,OH,H80CS00581
HWC Provider + Tulsa,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulsa County,OK,H80CS04286
Adult and Child at Kitley Intermediate,Yes,Service Delivery Site,Permanent,School,Marion County,IN,[No Data]
ECHO Pediatric and Prenatal Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Vanderburgh County,IN,H80CS00199
SAC Hospitality Lane Administration Ste 301,No,Administrative,Permanent,All Other Clinic Types,San Bernardino County,CA,H80CS28992
"Compass Health, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cass County,MO,H80CS26563
Sutherlin Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,OR,H80CS00567
Transfer Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mercer County,PA,H80CS00663
San Juan High School,Yes,Service Delivery Site,Permanent,School,Sacramento County,CA,H80CS00045
Greater Baden Medical Service at Bryans Road,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Charles County,MD,H80CS00549
Heartland Community Health Clinic DBA: Heartland Health Services - John H Gwynn Jr,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Peoria County,IL,H80CS02457
"Genesis Healthcare, Inc. - Public Sq.",No,Administrative,Permanent,All Other Clinic Types,Darlington County,SC,H80CS28973
GREATER NEW BEDFORD COMMUNITY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Bristol County,MA,H80CS00511
Health Care District Community Health Center - Delray Beach,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Palm Beach County,FL,H80CS25684
LOGAN FAMILY MEDICINE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cabarrus County,NC,H80CS06652
ACCESS Hawthorne Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00834
Meridian Health Services Corp,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,IN,H80CS26567
Great Lakes Bay Health Centers Bay City South,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bay County,MI,H80CS00689
Washington Elementary,Yes,Service Delivery Site,Permanent,School,Lancaster County,PA,H80CS00495
Graham School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,Champaign County,OH,H80CS26575
Aria Community Health Center,No,Administrative,Permanent,All Other Clinic Types,Kings County,CA,H80CS08739
Lincoln Street Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Stark County,OH,H80CS06654
WILKINSBURG DENTAL OFFICE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Allegheny County,PA,H80CS00664
Hazelwood East High School,Yes,Service Delivery Site,Seasonal,School,St. Louis County,MO,H80CS00133
NeoHealth Salina,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mayes County,OK,H80CS00848
CVHS Fredericksburg,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fredericksburg City,VA,H80CS00479
Keystone Internal Medicine Waynesboro,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,PA,H80CS00076
Sierra Blanca Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hudspeth County,TX,H80CS04287
KENT PUBLIC HEALTH CENTER-Birch Creek,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA,H80CS00056
Northeast Community Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS12869
Sea Mar CHC - Seattle 8915 14th Ave. S.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA,H80CS00445
Friend Health - 6250,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00120
Mary's Center - Silver Spring MD,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Montgomery County,MD,H80CS04202
HAZLETON PEDIATRICS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Luzerne County,PA,H80CS00707
Sea Mar CHC - Des Moines S. 242nd St.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA,H80CS00445
"Community Medical Centers, TUSD Student Wellness Center",Yes,Service Delivery Site,Permanent,School,San Joaquin County,CA,H80CS00138
Horizon Health - Howard Medical,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miner County,SD,H80CS00135
Refuah Health at Hillcrest,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rockland County,NY,H80CS00281
Penn Yan Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yates County,NY,H80CS00849
Altura Centers Health Mobile Clinic 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Tulare County,CA,H80CS00338
Missouri Highlands Clinical Lab,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butler County,MO,H80CS00703
Equitas Health King Lincoln,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,OH,[No Data]
Benito Juarez Community Academy,Yes,Service Delivery Site,Permanent,School,Cook County,IL,H80CS00116
VALLEY FAMILY HEALTH CARE - Payette Medical Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Payette County,ID,H80CS00556
Near North Health Family Health Center at Oakwood Shores,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00194
VIRGINIA GARCIA MEMORIAL HEALTH CENTER- CORNELIUS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,OR,H80CS00817
NORTH EAST MEDICAL SERVICES - 2633 SAN BRUNO,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA,H80CS00221
KentuckyCare - 058,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fulton County,KY,H80CS00207
Mountain Park Health Center - Baseline,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS00141
LCHC West Bend,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,WI,H80CS24152
CareConnect Convenient Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,GA,H80CS00393
SF GEN HOSPITAL URGENT CARE CTR,Yes,Service Delivery Site,Permanent,Hospital,San Francisco County,CA,H80CS00049
"Westshire Elementary School,",Yes,Service Delivery Site,Permanent,School,Orange County,VT,H80CS06658
Laredo College South Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Webb County,TX,H80CS00779
GVHC - TURLOCK PEDIATRIC HEALTH CENTER 1199 Suite 5,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA,H80CS00742
"MONONGAHELA VALLEY ASSOCIATION OF HEALTH CENTERS, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Marion County,WV,H80CS00614
Mexico Health Services Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oswego County,NY,H80CS00166
Bellefontaine Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Logan County,OH,H80CS26575
Charles Evans Center - Melillo,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nassau County,NY,H80CS00313
DOCTORS OFFICE/FAIR OAKS COMMUNITY HEALTH CENTERS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Luis Obispo County,CA,H80CS00621
"East Georgia Healthcare Center, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Treutlen County,GA,H80CS00512
Temporary Site - GSP Health Enid East Temporary Behavioral Health aka Hedges Regional Speech and Hearing,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Garfield County,OK,H80CS08744
CHCCMO South Callaway School,Yes,Service Delivery Site,Seasonal,School,Callaway County,MO,H80CS08748
Western Title Building,No,Administrative,Permanent,Unknown,Lincoln County,OR,H80CS06639
WellSpace Health - Perinatal Education Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA,H80CS12872
Clinica de Salud Familiar de Rio Grande,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rio Grande Municipio,PR,H80CS00323
Family HealthCare Network - Tulare Hillman,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA,H80CS00786
Harbor Care Health and Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hillsborough County,NH,H80CS12867
Women's Health Center--La Clinica,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,OR,H80CS00759
FamilyCare Health Center - Mary C. Snow West Side Elementary,Yes,Service Delivery Site,Permanent,School,Kanawha County,WV,H80CS00827
RCCHC Mobile Health Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Hertford County,NC,H80CS08737
SUNRISE SUMMITSTONE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Larimer County,CO,H80CS00804
AltaMed PACE - Lynwood,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00142
JWCH MEDICAL CLINIC @ WEINGART,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS06673
Bentley Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA,H80CS02588
MedNorth Health Center Administrative Site,No,Administrative,Permanent,Unknown,New Hanover County,NC,H80CS00572
Madisonville Primary School,Yes,Service Delivery Site,Seasonal,School,Monroe County,TN,H80CS06461
Mobile Dental,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Greenville County,SC,H80CS00578
CBH Kuhl Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,St. Joseph County,MI,H80CS29457
Healthy Smiles II,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Washington County,MD,H80CS00857
CSC HARTSVILLE CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Darlington County,SC,H80CS00654
Grace SBHC Knox Central High School,Yes,Service Delivery Site,Permanent,School,Knox County,KY,H80CS09959
Central Oklahoma Family Medical Center - Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Seminole County,OK,H80CS00757
Bayside Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pinellas County,FL,H80CS00024
Kintegra at Lincolnton Middle,Yes,Service Delivery Site,Permanent,School,Lincoln County,NC,H80CS00293
"Community Medical Centers, Tracy Grant Line Road",Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Joaquin County,CA,H80CS00138
Bella Vista Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY,H80CS00368
MedLink Hartwell Family Foot Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hart County,GA,H80CS00427
Eisner Health - Women's Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS04223
Clark Middle School,Yes,Service Delivery Site,Seasonal,School,Knox County,IN,[No Data]
The ROADS Foundation - ROADS Mobile 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Los Angeles County,CA,H80CS28991
Highland Health Providers,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Highland County,OH,H80CS33657
McDowell County Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McDowell County,NC,H80CS08786
Wesley Health Centers - Whittier,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS06673
Ricardo Estrada Middle School,Yes,Service Delivery Site,Seasonal,School,El Paso County,TX,H80CS04287
CCB Pharmacy,No,Administrative,Permanent,Unknown,San Juan Municipio,PR,H80CS00695
3CCC - Olympic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
Winn CHC Pharmacy Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Winn Parish,LA,H80CS12857
Wheeler Mobile Health & Wellness #2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Capitol Planning Region,CT,H80CS29001
Oakridge Upper Elementary School,Yes,Service Delivery Site,Seasonal,School,Muskegon County,MI,H80CS00684
BLEDSOE COUNTY PRIMARY CARE CTR.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bledsoe County,TN,H80CS00762
Diamond Neighborhoods Family Health Center Building A,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00224
Haynes Academy SBHC,Yes,Service Delivery Site,Seasonal,School,Jefferson Parish,LA,H80CS00867
Covenant House Alaska Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Anchorage Borough,AK,H80CS01128
Rosemary Middle School - SBHC,Yes,Service Delivery Site,Seasonal,School,Georgetown County,SC,H80CS00828
Aunt Martha's Roseland Community Health Center,Yes,Service Delivery Site,Permanent,Hospital,Cook County,IL,H80CS00685
INTERCARE CHILD AND ADOLESCENT HEALTH CENTER,Yes,Service Delivery Site,Permanent,School,Berrien County,MI,H80CS00771
Community Clinic Don Tyson School of Innovation,Yes,Service Delivery Site,Seasonal,School,Washington County,AR,H80CS04290
Sumter County Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sumter County,AL,H80CS00094
Priority Health Care Gretna,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson Parish,LA,H80CS28963
School-Based Health Center-St. Agatha,Yes,Service Delivery Site,Permanent,School,Aroostook County,ME,H80CS00396
"Genesis Healthcare, Inc. dba Lamar Family Care",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Darlington County,SC,H80CS28973
ST CROIX REGIONAL AT CALAIS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,ME,H80CS00526
Whole Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Lucie County,FL,[No Data]
SAN POIL VALLEY COMMUNITY HEALTH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ferry County,WA,H80CS01441
HO'OLA LAHUI HAWAI'I WEST,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kauai County,HI,H80CS00852
Southeast Community Health Systems - Northwestern Elementary,Yes,Service Delivery Site,Seasonal,School,East Baton Rouge Parish,LA,H80CS00370
PHMC Health Connection,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA,H80CS00016
Tri-State Community Healthcare Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA,H80CS28370
CHP Family Services,No,Administrative,Permanent,All Other Clinic Types,Berkshire County,MA,H80CS00237
AltaMed Medical Group - Bellflower,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00142
Burke Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Burke County,NC,H80CS24142
Pediatric Emergency Department and Urgent Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Denver County,CO,H80CS00218
Aria Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA,H80CS08739
Hamilton - McFarland Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Genesee County,MI,H80CS00435
Mountain Park Health Center - Glendale,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS00141
